COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M
indoor,Belgrade (SRB),2022,18 March 2022,,,men,800-metres,heats,3.0,Charlie DA'VALL GRICE,GBR,28.0,13.26,27.20,41.18,54.95,1:08.71,1:22.43,1:35.69,1:50.17
indoor,Belgrade (SRB),2022,18 March 2022,,,men,800-metres,heats,4.0,Isaiah HARRIS,USA,25.0,13.39,26.77,40.52,54.13,1:07.42,1:20.65,1:33.52,1:47.00
indoor,Belgrade (SRB),2022,18 March 2022,,,men,800-metres,heats,4.0,Álvaro DE ARRIBA,ESP,28.0,13.44,27.01,40.72,54.37,1:07.62,1:20.93,1:34.39,1:47.97
indoor,Belgrade (SRB),2022,18 March 2022,,,men,800-metres,heats,4.0,Samuel CHAPPLE,NED,23.0,13.55,27.14,40.78,54.57,1:07.89,1:21.26,1:36.12,1:48.09
indoor,Belgrade (SRB),2022,18 March 2022,,,men,800-metres,heats,4.0,Collins KIPRUTO,KEN,28.0,13.19,26.45,40.13,53.70,1:07.44,1:20.79,1:34.10,1:48.18
indoor,Belgrade (SRB),2022,18 March 2022,,,men,800-metres,heats,4.0,Marc REUTHER,GER,26.0,13.24,26.53,40.06,53.92,1:07.57,1:21.08,1:34.17,1:48.63
indoor,Belgrade (SRB),2022,18 March 2022,,,men,800-metres,heats,4.0,Charlie HUNTER,AUS,26.0,13.69,27.30,41.00,54.57,1:07.92,1:21.48,1:35.15,1:49.07
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,1.0,Natoya GOULE,JAM,31.0,13.76,28.74,43.86,59.32,1:14.98,1:30.61,1:46.02,2:01.65
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,1.0,Freweyni HAILU,ETH,21.0,14.03,28.50,43.76,59.14,1:15.00,1:30.63,1:46.08,2:01.70
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,1.0,Jenny SELMAN,GBR,31.0,14.17,29.19,44.46,59.61,1:15.14,1:30.72,1:46.24,2:02.00
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,1.0,Madeleine KELLY,CAN,26.0,13.92,29.01,44.25,59.78,1:15.45,1:31.15,1:46.48,2:02.06
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,1.0,Elena BELLÒ,ITA,25.0,14.00,28.89,44.36,59.87,1:15.56,1:31.26,1:46.55,2:02.35
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,1.0,Olivia BAKER,USA,26.0,14.49,29.37,44.66,59.99,1:15.26,1:30.96,1:46.19,2:02.35
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,2.0,Ajee WILSON,USA,28.0,14.21,29.66,45.84,1:02.31,1:18.29,1:33.64,1:48.19,2:03.42
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,2.0,Lorena MARTÍN,ESP,25.0,14.39,29.89,46.07,1:02.50,1:18.64,1:34.33,1:48.74,2:03.85
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,2.0,Tigist GIRMA,ETH,19.0,14.28,29.77,46.11,1:02.53,1:18.36,1:33.88,1:48.65,2:03.85
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,2.0,Hedda HYNNE,NOR,32.0,14.36,29.48,45.79,1:02.19,1:18.10,1:33.79,1:48.60,2:04.17
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,2.0,Síofra CLÉIRIGH BÜTTNER,IRL,27.0,14.48,30.05,46.19,1:02.70,1:18.72,1:34.40,1:50.28,2:06.99
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,3.0,Habitam ALEMU,ETH,25.0,13.98,28.38,44.26,1:00.15,1:16.07,1:31.41,1:46.16,2:01.12
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,3.0,Catriona BISSET,AUS,28.0,13.99,28.64,44.38,1:00.31,1:16.11,1:31.50,1:46.21,2:01.24
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,3.0,Halimah NAKAAYI,UGA,27.0,14.05,28.73,44.60,1:00.38,1:16.14,1:31.58,1:46.26,2:01.47
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,3.0,Lindsey BUTTERWORTH,CAN,29.0,14.06,28.75,44.54,1:00.49,1:16.46,1:32.41,1:47.23,2:01.99
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,3.0,Angelika CICHOCKA,POL,34.0,14.14,28.99,44.71,1:00.73,1:16.22,1:31.72,1:46.72,2:02.01
indoor,Belgrade (SRB),2022,19 March 2022,,,women,800-metres,heats,3.0,Naomi KORIR,KEN,24.0,14.23,28.89,44.73,1:00.49,1:16.35,1:32.22,1:47.92,2:03.94
indoor,Belgrade (SRB),2022,19 March 2022,,,men,800-metres,final,1.0,Mariano GARCÍA,ESP,24.0,12.63,25.29,37.66,50.75,1:04.17,1:18.26,1:31.81,1:46.20
indoor,Belgrade (SRB),2022,19 March 2022,,,men,800-metres,final,1.0,Noah KIBET,KEN,18.0,12.35,24.44,37.36,50.83,1:04.49,1:18.38,1:31.94,1:46.35
indoor,Belgrade (SRB),2022,19 March 2022,,,men,800-metres,final,1.0,Bryce HOPPEL,USA,25.0,12.54,24.72,37.55,50.93,1:04.61,1:18.47,1:32.26,1:46.51
indoor,Belgrade (SRB),2022,19 March 2022,,,men,800-metres,final,1.0,Álvaro DE ARRIBA,ESP,28.0,12.40,24.57,37.72,51.19,1:04.93,1:19.07,1:33.25,1:46.58
indoor,Belgrade (SRB),2022,19 March 2022,,,men,800-metres,final,1.0,Andreas KRAMER,SWE,25.0,12.19,24.25,38.76,50.62,1:04.32,1:18.24,1:32.73,1:46.76
indoor,Belgrade (SRB),2022,19 March 2022,,,men,800-metres,final,1.0,Eliott CRESTAN,BEL,23.0,12.46,24.81,38.04,51.41,1:05.06,1:18.91,1:33.94,1:46.78
indoor,Belgrade (SRB),2022,19 March 2022,,,men,800-metres,final,1.0,Isaiah HARRIS,USA,25.0,12.49,25.02,37.79,51.62,1:04.76,1:18.75,1:32.37,1:47.00
indoor,Belgrade (SRB),2022,19 March 2022,,,men,800-metres,final,1.0,Marco AROP,CAN,23.0,12.10,23.97,36.89,50.34,1:04.58,1:17.83,1:31.86,1:47.58
indoor,Belgrade (SRB),2022,20 March 2022,,,women,800-metres,final,1.0,Ajee WILSON,USA,28.0,13.49,28.76,44.20,59.52,1:14.85,1:29.50,1:43.92,1:59.09
indoor,Belgrade (SRB),2022,20 March 2022,,,women,800-metres,final,1.0,Freweyni HAILU,ETH,21.0,13.92,29.10,44.41,59.89,1:14.94,1:30.18,1:45.30,2:00.54
indoor,Belgrade (SRB),2022,20 March 2022,,,women,800-metres,final,1.0,Halimah NAKAAYI,UGA,27.0,13.49,28.50,44.06,59.35,1:14.42,1:29.72,1:44.68,2:00.66
indoor,Belgrade (SRB),2022,20 March 2022,,,women,800-metres,final,1.0,Natoya GOULE,JAM,31.0,13.44,28.24,43.96,59.28,1:14.33,1:29.59,1:44.89,2:01.18
indoor,Belgrade (SRB),2022,20 March 2022,,,women,800-metres,final,1.0,Catriona BISSET,AUS,28.0,13.68,28.78,44.23,59.66,1:14.85,1:29.88,1:44.96,2:01.24
indoor,Belgrade (SRB),2022,20 March 2022,,,women,800-metres,final,1.0,Lindsey BUTTERWORTH,CAN,29.0,14.01,28.97,44.61,1:01.57,1:16.01,1:31.72,1:47.28,2:03.21
indoor,Belgrade (SRB),2022,20 March 2022,,,women,800-metres,final,1.0,Habitam ALEMU,ETH,25.0,13.58,28.65,43.99,59.38,1:14.58,1:29.79,1:46.93,2:03.37
indoor,Belgrade (SRB),2022,20 March 2022,,,women,800-metres,final,1.0,Lorena MARTÍN,ESP,25.0,13.94,29.04,44.41,1:00.01,1:15.37,1:31.08,1:47.27,2:03.93
