COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M,3100M,3200M,3300M,3400M,3500M,3600M,3700M,3800M,3900M,4000M,4100M,4200M,4300M,4400M,4500M,4600M,4700M,4800M,4900M,5000M
outdoor,,2025,20 September 2025,26,79,women,5000-metres,final,1.0,Agnes Jebet NGETICH,KEN,25.0,18.59,38.24,58.22,1:18.12,1:38.35,1:58.54,2:18.92,2:38.82,2:58.18,3:17.37,3:36.31,3:54.63,4:12.76,4:30.74,4:49.20,5:07.38,5:25.71,5:43.92,6:01.97,6:20.12,6:38.19,6:56.27,7:14.42,7:32.95,7:51.44,8:10.12,8:27.28,8:44.25,9:01.31,9:18.86,9:36.55,9:54.28,10:11.95,10:29.97,10:47.49,11:05.15,11:22.63,11:40.24,11:57.85,12:15.66,12:33.49,12:51.00,13:08.14,13:24.85,13:41.95,13:59.48,14:17.37,14:35.88,14:55.01,15:13.78
outdoor,,2025,20 September 2025,26,79,women,5000-metres,final,1.0,Joy CHEPTOYEK,UGA,23.0,18.38,37.75,58.51,1:18.85,1:38.90,1:58.89,2:19.29,2:39.18,2:58.81,3:18.04,3:37.12,3:55.43,4:13.24,4:31.30,4:49.86,5:08.23,5:26.87,5:44.56,6:02.54,6:20.66,6:38.83,6:56.87,7:14.99,7:33.50,7:52.05,8:10.57,8:27.91,8:44.90,9:01.93,9:19.41,9:37.29,9:55.00,10:12.85,10:30.57,10:48.31,11:05.84,11:24.10,11:41.85,11:59.54,12:17.67,12:35.81,12:54.09,13:12.11,13:30.38,13:48.45,14:06.54,14:24.49,14:42.89,15:01.12,15:18.98
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Cole HOCKER,USA,24.0,15.53,31.90,48.62,1:05.50,1:22.62,1:39.94,1:55.93,2:11.60,2:26.81,2:41.88,2:57.18,3:12.67,3:28.33,3:43.84,3:59.34,4:14.84,4:30.39,4:45.55,5:00.96,5:16.55,5:32.25,5:47.39,6:02.89,6:18.44,6:34.27,6:49.74,7:05.22,7:20.87,7:37.06,7:52.82,8:08.85,8:24.76,8:41.01,8:57.21,9:13.41,9:29.61,9:45.79,10:01.45,10:17.28,10:32.99,10:48.80,11:04.24,11:19.84,11:35.18,11:50.84,12:05.68,12:19.69,12:32.80,12:45.79,12:58.30
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Isaac KIMELI,BEL,32.0,16.77,33.31,49.96,1:06.54,1:23.62,1:40.82,1:56.38,2:11.49,2:26.56,2:41.68,2:56.98,3:12.49,3:28.13,3:43.66,3:59.13,4:14.63,4:30.17,4:45.32,5:00.78,5:16.35,5:32.01,5:47.21,6:02.70,6:18.25,6:34.03,6:49.47,7:05.03,7:20.69,7:36.80,7:52.57,8:08.64,8:24.65,8:40.85,8:57.01,9:13.19,9:29.33,9:45.20,10:01.14,10:17.04,10:32.72,10:48.13,11:03.73,11:19.24,11:34.62,11:50.27,12:04.72,12:18.88,12:32.42,12:45.68,12:58.78
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Jimmy GRESSIER,FRA,28.0,16.07,32.48,49.21,1:06.08,1:23.21,1:40.32,1:56.03,2:11.37,2:26.31,2:41.55,2:56.76,3:12.30,3:27.89,3:43.56,3:58.91,4:14.40,4:29.94,4:45.11,5:00.56,5:16.14,5:31.79,5:46.99,6:02.49,6:18.03,6:33.77,6:49.29,7:04.87,7:20.61,7:36.60,7:52.33,8:08.42,8:24.52,8:40.62,8:56.83,9:13.04,9:29.31,9:45.56,10:01.35,10:17.20,10:32.90,10:48.56,11:04.03,11:19.59,11:35.00,11:50.57,12:05.05,12:19.05,12:32.57,12:45.94,12:59.33
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Ky ROBINSON,AUS,24.0,15.83,32.23,49.06,1:05.95,1:22.99,1:40.17,1:56.22,2:11.82,2:27.33,2:42.46,2:58.00,3:13.49,3:29.18,3:44.57,4:00.19,4:15.67,4:31.24,4:46.48,5:01.77,5:17.38,5:33.22,5:48.26,6:03.94,6:19.33,6:35.12,6:50.55,7:06.17,7:21.70,7:37.71,7:53.25,8:09.19,8:25.02,8:41.25,8:57.40,9:13.69,9:29.88,9:46.03,10:01.68,10:17.43,10:33.18,10:48.93,11:04.32,11:19.95,11:35.38,11:50.98,12:05.54,12:19.53,12:33.17,12:46.38,12:59.61
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Biniam MEHARY,ETH,19.0,16.65,33.16,49.99,1:06.97,1:24.07,1:41.41,1:56.81,2:11.12,2:25.93,2:41.14,2:56.34,3:11.89,3:27.51,3:43.17,3:58.48,4:13.98,4:29.54,4:44.74,5:00.17,5:15.75,5:31.40,5:46.60,6:02.11,6:17.67,6:33.39,6:48.87,7:04.44,7:20.19,7:36.22,7:52.10,8:07.97,8:24.12,8:40.23,8:56.36,9:12.61,9:28.94,9:44.95,10:00.78,10:16.82,10:32.61,10:48.45,11:03.99,11:19.40,11:34.77,11:50.48,12:04.53,12:18.65,12:32.28,12:45.90,12:59.95
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Nico YOUNG,USA,23.0,16.28,32.85,49.30,1:05.84,1:22.93,1:39.99,1:55.01,2:10.24,2:25.25,2:40.62,2:55.83,3:11.37,3:26.99,3:42.44,3:57.79,4:13.24,4:28.87,4:44.11,4:59.58,5:15.12,5:30.82,5:46.38,6:01.89,6:17.42,6:33.18,6:48.61,7:04.25,7:19.97,7:36.01,7:52.23,8:08.21,8:24.30,8:40.45,8:56.70,9:13.18,9:29.32,9:45.02,10:00.88,10:16.71,10:32.39,10:48.28,11:03.98,11:19.59,11:34.96,11:50.71,12:05.34,12:19.18,12:33.00,12:46.57,13:00.07
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Birhanu BALEW,BRN,30.0,16.81,33.19,49.92,1:06.73,1:23.79,1:41.06,1:56.57,2:11.14,2:26.11,2:41.35,2:56.55,3:12.12,3:27.72,3:43.37,3:58.72,4:14.20,4:29.76,4:44.90,5:00.41,5:15.94,5:31.58,5:46.75,6:02.32,6:17.84,6:33.56,6:49.10,7:04.69,7:20.43,7:36.37,7:52.46,8:08.34,8:24.23,8:40.30,8:56.49,9:12.80,9:29.03,9:45.15,10:01.00,10:16.85,10:32.56,10:48.42,11:03.72,11:19.35,11:34.70,11:50.34,12:04.86,12:18.91,12:32.74,12:46.35,13:00.55
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Grant FISHER,USA,28.0,15.73,32.11,48.82,1:05.70,1:22.80,1:39.74,1:54.79,2:09.99,2:25.08,2:40.40,2:55.61,3:11.16,3:26.80,3:42.67,3:58.02,4:13.49,4:29.08,4:44.40,4:59.97,5:15.52,5:31.06,5:46.26,6:01.65,6:17.22,6:32.93,6:48.44,7:04.01,7:19.78,7:35.74,7:51.78,8:07.54,8:23.70,8:39.80,8:56.22,9:12.76,9:29.13,9:45.40,10:01.20,10:17.03,10:32.70,10:48.61,11:04.06,11:19.56,11:35.00,11:50.64,12:05.49,12:19.89,12:33.86,12:47.46,13:00.79
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Yann SCHRUB,FRA,30.0,16.05,32.31,49.29,1:06.21,1:23.35,1:40.44,1:56.28,2:11.96,2:27.41,2:42.17,2:57.64,3:13.11,3:28.73,3:44.22,3:59.80,4:15.24,4:30.83,4:45.92,5:01.45,5:16.94,5:32.68,5:47.80,6:03.36,6:18.87,6:34.70,6:50.10,7:05.67,7:21.31,7:37.27,7:52.85,8:08.74,8:24.56,8:40.68,8:56.93,9:13.30,9:29.56,9:45.31,10:01.11,10:17.06,10:32.77,10:48.60,11:04.17,11:19.81,11:35.14,11:50.88,12:05.30,12:19.34,12:32.97,12:46.84,13:01.34
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Jakob INGEBRIGTSEN,NOR,25.0,17.36,33.62,50.40,1:07.22,1:24.13,1:41.55,1:57.47,2:12.66,2:28.23,2:43.13,2:58.64,3:14.04,3:29.72,3:45.05,4:00.76,4:16.18,4:31.82,4:47.26,5:02.47,5:18.12,5:33.80,5:49.17,6:04.74,6:20.29,6:35.84,6:51.43,7:07.15,7:22.90,7:38.46,7:53.79,8:09.55,8:25.33,8:41.36,8:56.96,9:13.11,9:29.10,9:44.76,10:00.53,10:16.32,10:32.16,10:47.97,11:03.64,11:19.16,11:34.58,11:50.17,12:05.22,12:19.73,12:33.63,12:47.43,13:02.00
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Mathew Kipchumba KIPSANG,KEN,30.0,16.29,32.61,49.53,1:06.44,1:23.57,1:40.65,1:56.58,2:11.69,2:27.06,2:42.04,2:57.40,3:12.88,3:28.51,3:44.06,3:59.54,4:15.03,4:30.61,4:45.75,5:01.19,5:16.74,5:32.42,5:47.59,6:03.10,6:18.64,6:34.49,6:49.87,7:05.43,7:21.08,7:37.09,7:52.63,8:08.57,8:24.40,8:40.49,8:56.69,9:13.01,9:29.11,9:44.91,10:00.74,10:16.61,10:32.41,10:48.32,11:03.84,11:19.38,11:34.79,11:50.41,12:05.04,12:19.37,12:33.32,12:48.14,13:03.67
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Mike FOPPEN,NED,29.0,16.59,33.05,49.83,1:06.89,1:23.69,1:41.16,1:57.01,2:12.34,2:27.98,2:42.94,2:58.45,3:13.89,3:29.53,3:44.93,4:00.60,4:15.83,4:31.43,4:46.75,5:02.02,5:17.58,5:33.48,5:48.62,6:04.32,6:19.75,6:35.45,6:51.05,7:06.65,7:22.21,7:38.06,7:53.60,8:09.42,8:25.23,8:41.50,8:57.58,9:13.85,9:30.02,9:46.21,10:01.86,10:17.60,10:33.38,10:49.14,11:04.71,11:20.26,11:35.67,11:51.48,12:06.18,12:20.96,12:35.78,12:50.79,13:05.94
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Hagos GEBRHIWET,ETH,31.0,16.27,32.74,49.57,1:06.32,1:23.42,1:40.60,1:55.67,2:10.48,2:25.51,2:40.85,2:56.02,3:11.65,3:27.23,3:42.93,3:58.20,4:13.72,4:29.30,4:44.30,4:59.77,5:15.32,5:31.04,5:46.08,6:01.44,6:17.03,6:32.76,6:48.21,7:03.80,7:19.56,7:35.77,7:52.02,8:07.76,8:23.93,8:40.03,8:56.50,9:12.78,9:29.33,9:45.60,10:00.64,10:16.47,10:32.32,10:48.14,11:03.81,11:19.58,11:34.81,11:50.53,12:04.92,12:19.85,12:35.22,12:51.15,13:07.02
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Etienne DAGUINOS,FRA,26.0,16.46,32.86,49.72,1:06.65,1:23.75,1:40.85,1:56.74,2:12.08,2:27.63,2:42.43,2:57.80,3:13.31,3:28.96,3:44.37,3:59.96,4:15.43,4:30.99,4:46.22,5:01.61,5:17.12,5:32.91,5:47.98,6:03.58,6:19.10,6:34.87,6:50.26,7:05.88,7:21.48,7:37.53,7:53.00,8:08.98,8:24.89,8:40.83,8:57.18,9:13.40,9:29.76,9:45.69,10:01.59,10:17.37,10:33.13,10:48.83,11:04.53,11:20.01,11:35.41,11:50.95,12:05.93,12:20.92,12:36.68,12:53.61,13:11.72
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,Valentin SOCA,URU,23.0,16.90,33.48,50.21,1:07.03,1:23.91,1:41.31,1:57.16,2:12.22,2:27.88,2:42.77,2:58.20,3:13.79,3:29.40,3:44.81,4:00.45,4:15.91,4:31.65,4:47.03,5:02.26,5:17.91,5:33.75,5:48.94,6:04.53,6:20.09,6:35.73,6:51.27,7:06.99,7:22.90,7:38.88,7:54.58,8:10.28,8:26.26,8:42.56,8:59.23,9:15.63,9:32.56,9:49.45,10:06.47,10:23.32,10:40.38,10:57.41,11:14.76,11:31.90,11:49.54,12:06.90,12:24.22,12:41.51,12:58.93,13:16.45,13:34.35
outdoor,,2025,21 September 2025,24,68,men,5000-metres,final,1.0,George MILLS,GBR,26.0,17.27,33.83,50.59,1:07.49,1:24.44,1:41.70,1:57.74,2:12.96,2:28.48,2:43.56,2:58.84,3:14.30,3:30.02,3:45.30,4:01.00,4:16.48,4:32.13,4:47.55,5:02.81,5:18.47,5:34.18,5:49.61,6:05.07,6:20.85,6:36.68,6:52.61,7:08.64,7:24.84,7:41.28,7:57.77,8:14.30,8:31.18,8:48.10,9:05.39,9:22.59,9:40.11,9:57.64,10:15.30,10:32.52,10:49.97,11:07.46,11:24.93,11:42.04,11:59.53,12:16.62,12:33.91,12:51.27,13:09.07,13:26.88,13:44.88
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Gudaf TSEGAY,ETH,26.0,17.84,38.85,1:00.54,1:20.70,1:39.18,1:57.64,2:16.19,2:34.17,2:52.20,3:09.97,3:28.19,3:46.55,4:05.16,4:23.53,4:42.04,4:59.27,5:16.63,5:33.86,5:51.41,6:09.56,6:27.80,6:46.75,7:05.56,7:24.22,7:43.04,8:01.83,8:21.12,8:40.14,8:59.43,9:18.45,9:37.83,9:53.91,10:14.34,10:32.06,10:50.74,11:07.93,11:25.43,11:42.92,12:00.31,12:17.54,12:34.93,12:52.01,13:09.35,13:25.34,13:41.28,13:57.35,14:13.16,14:28.08,14:43.17,14:57.72
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Margaret Chelimo KIPKEMBOI,KEN,31.0,18.42,39.46,1:01.08,1:21.22,1:39.90,1:57.24,2:15.63,2:33.98,2:51.68,3:09.61,3:28.01,3:46.32,4:04.88,4:23.35,4:41.83,4:58.96,5:16.47,5:32.13,5:51.16,6:09.47,6:27.65,6:46.60,7:05.46,7:23.93,7:42.76,8:01.81,8:21.16,8:40.18,8:59.39,9:18.32,9:37.76,9:54.07,10:14.15,10:32.07,10:50.70,11:08.39,11:25.97,11:43.27,12:00.35,12:17.55,12:34.66,12:51.97,13:09.25,13:26.03,13:41.78,13:58.03,14:13.70,14:29.01,14:44.51,15:00.10
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Agate CAUNE,LAT,19.0,18.34,38.47,56.33,1:13.62,1:31.25,1:48.55,2:06.08,2:23.44,2:40.76,2:54.55,3:15.95,3:33.19,3:50.69,4:08.07,4:26.05,4:43.33,5:00.96,5:18.66,5:36.66,5:54.07,6:11.69,6:29.69,6:47.72,7:05.48,7:23.30,7:41.15,7:59.70,8:17.53,8:35.69,8:54.08,9:12.49,9:28.58,9:49.13,10:07.73,10:26.41,10:44.80,11:03.18,11:21.90,11:40.62,11:59.09,12:17.51,12:36.06,12:54.89,13:13.25,13:31.67,13:50.19,14:08.19,14:26.11,14:43.68,15:00.48
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Elise CRANNY,USA,27.0,18.09,38.39,1:00.06,1:20.08,1:38.35,1:56.72,2:15.15,2:33.53,2:51.34,3:09.35,3:27.52,3:45.87,4:04.39,4:23.18,4:41.32,4:58.85,5:16.40,5:33.82,5:51.65,6:09.98,6:28.14,6:47.04,7:05.93,7:24.53,7:43.39,8:02.03,8:21.31,8:40.37,8:59.68,9:18.47,9:38.01,9:54.44,10:14.44,10:32.62,10:50.83,11:08.44,11:26.17,11:43.40,12:00.97,12:17.86,12:35.01,12:51.85,13:09.04,13:25.61,13:41.64,13:57.74,14:13.51,14:29.34,14:45.24,15:01.53
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Medina EISA,ETH,19.0,18.64,39.64,1:00.99,1:20.92,1:39.60,1:58.01,2:15.88,2:34.43,2:52.32,3:10.26,3:28.40,3:46.78,4:05.36,4:23.74,4:42.19,4:59.70,5:17.49,5:35.30,5:52.39,6:09.82,6:28.28,6:46.88,7:05.79,7:24.33,7:43.31,8:02.01,8:21.35,8:40.22,8:59.72,9:20.61,9:38.04,9:53.94,10:14.23,10:32.05,10:50.42,11:08.29,11:26.13,11:43.26,12:00.73,12:17.73,12:35.14,12:52.28,13:09.68,13:25.71,13:41.96,13:58.28,14:14.39,14:30.32,14:46.90,15:03.07
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Alicia MONSON,USA,25.0,17.98,39.10,1:01.04,1:20.93,1:39.51,1:57.64,2:16.33,2:34.10,2:51.77,3:09.68,3:27.84,3:44.97,4:04.09,4:22.77,4:40.80,4:58.22,5:15.81,5:33.04,5:50.86,6:09.03,6:27.23,6:46.15,7:05.06,7:23.60,7:42.30,8:01.03,8:20.60,8:39.60,8:58.98,9:14.94,9:37.29,9:52.53,10:13.81,10:28.36,10:50.00,11:07.11,11:25.17,11:42.51,11:59.97,12:16.60,12:34.44,12:51.65,13:08.81,13:25.84,13:42.23,13:58.68,14:14.97,14:30.33,14:47.17,15:03.35
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Maureen KOSTER,NED,31.0,18.08,38.96,1:00.75,1:20.65,1:39.07,1:57.38,2:15.84,2:34.30,2:52.15,3:10.09,3:28.26,3:46.67,4:04.99,4:22.91,4:41.35,4:59.08,5:17.05,5:34.09,5:51.86,6:09.69,6:27.97,6:46.51,7:05.50,7:24.00,7:42.94,8:02.07,8:21.22,8:40.24,8:59.62,9:18.45,9:37.86,9:54.26,10:14.51,10:32.53,10:50.81,11:08.13,11:25.71,11:42.86,12:00.62,12:17.62,12:34.87,12:52.00,13:09.16,13:26.10,13:42.64,13:59.01,14:15.23,14:31.61,14:47.92,15:05.13
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Francine NIYOMUKUNZI,BDI,24.0,18.39,39.05,1:00.79,1:21.07,1:38.93,1:57.07,2:15.35,2:33.71,2:51.46,3:09.57,3:27.71,3:46.15,4:04.71,4:23.18,4:41.24,4:58.62,5:16.46,5:34.56,5:51.47,6:09.64,6:27.96,6:46.83,7:05.64,7:24.28,7:43.11,8:01.65,8:20.75,8:39.71,8:58.97,9:17.88,9:37.31,9:53.59,10:13.64,10:31.73,10:50.26,11:08.13,11:25.94,11:43.18,12:00.85,12:18.04,12:35.43,12:52.38,13:09.72,13:26.34,13:43.05,14:00.16,14:16.87,14:33.15,14:49.25,15:05.24
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Rose DAVIES,AUS,24.0,18.20,39.08,1:00.91,1:20.74,1:39.41,1:58.07,2:16.67,2:34.97,2:52.91,3:10.55,3:28.95,3:47.27,4:05.63,4:24.21,4:42.62,4:59.92,5:17.38,5:34.95,5:52.22,6:10.41,6:28.74,6:47.29,7:06.33,7:24.80,7:43.79,8:02.25,8:21.48,8:40.52,8:59.75,9:18.64,9:38.05,9:54.66,10:14.92,10:32.82,10:50.91,11:08.71,11:26.35,11:43.59,12:01.17,12:18.16,12:35.59,12:52.54,13:09.96,13:26.70,13:43.47,14:00.06,14:16.78,14:33.89,14:50.77,15:07.93
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Karoline Bjerkeli GRØVDAL,NOR,33.0,18.06,39.39,1:01.13,1:21.21,1:39.77,1:57.89,2:16.38,2:34.69,2:52.58,3:08.03,3:28.56,3:46.99,4:05.40,4:23.98,4:42.46,4:59.89,5:17.80,5:36.26,5:52.93,6:10.72,6:29.02,6:47.51,7:06.45,7:25.12,7:43.93,8:02.60,8:21.67,8:40.56,8:59.79,9:18.72,9:38.08,9:54.45,10:14.66,10:32.67,10:51.02,11:08.93,11:26.51,11:43.02,12:01.22,12:18.49,12:35.88,12:53.62,13:11.02,13:28.26,13:45.20,14:02.46,14:19.20,14:35.23,14:52.30,15:08.96
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Ririka HIRONAKA,JPN,23.0,17.99,38.78,1:00.13,1:20.16,1:38.53,1:57.05,2:15.43,2:33.75,2:51.53,3:09.55,3:27.66,3:46.19,4:04.52,4:23.37,4:41.78,4:59.31,5:17.18,5:34.65,5:52.06,6:10.02,6:28.32,6:46.90,7:06.26,7:24.70,7:43.57,8:02.29,8:21.57,8:40.67,8:59.97,9:18.81,9:38.26,9:54.64,10:15.00,10:33.40,10:51.22,11:08.59,11:26.29,11:43.02,12:00.46,12:17.88,12:35.25,12:52.19,13:09.53,13:26.43,13:43.23,13:59.95,14:16.26,14:32.26,14:51.19,15:11.16
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Megan KEITH,GBR,21.0,18.70,39.55,1:00.57,1:20.31,1:38.89,1:57.31,2:15.92,2:34.46,2:52.72,3:10.58,3:28.73,3:47.06,4:05.65,4:23.72,4:42.29,4:59.75,5:17.62,5:37.90,5:52.85,6:10.51,6:28.56,6:47.08,7:06.04,7:24.49,7:43.52,8:02.09,8:21.18,8:39.89,8:59.21,9:18.15,9:37.41,9:53.35,10:13.48,10:31.54,10:50.07,11:08.00,11:25.79,11:43.67,12:01.56,12:19.21,12:37.12,12:55.15,13:13.56,13:31.96,13:50.37,14:08.61,14:27.04,14:45.57,15:03.90,15:21.94
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Julie-Anne STAEHLI,CAN,30.0,18.59,39.65,1:00.08,1:18.43,1:38.01,1:56.46,2:14.81,2:33.20,2:50.98,3:09.01,3:27.19,3:44.63,4:04.09,4:22.88,4:41.49,4:58.53,5:16.99,5:36.99,5:52.47,6:10.63,6:28.84,6:47.48,7:06.36,7:23.66,7:42.38,8:01.48,8:20.77,8:39.80,8:59.19,9:18.26,9:37.54,9:53.89,10:14.09,10:32.04,10:50.37,11:08.65,11:26.73,11:44.70,12:02.52,12:20.63,12:38.91,12:57.39,13:16.00,13:34.45,13:52.91,14:11.65,14:30.15,14:48.91,15:06.68,15:24.09
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Viktória WAGNER-GYÜRKÉS,HUN,31.0,18.15,39.37,1:00.78,1:21.18,1:40.21,1:58.55,2:16.97,2:35.19,2:53.24,3:10.83,3:29.24,3:47.64,4:05.93,4:24.36,4:43.17,5:00.88,5:18.69,5:35.78,5:55.05,6:13.54,6:32.21,6:50.69,7:09.56,7:28.51,7:47.46,8:06.03,8:25.09,8:43.74,9:02.60,9:21.31,9:40.15,9:56.64,10:17.50,10:35.90,10:55.21,11:13.62,11:32.62,11:51.27,12:10.68,12:29.08,12:48.26,13:07.18,13:25.71,13:43.20,14:03.22,14:21.99,14:40.46,14:57.20,15:13.65,15:29.42
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Ludovica CAVALLI,ITA,23.0,18.10,38.94,1:00.53,1:20.22,1:38.63,1:57.16,2:15.73,2:33.96,2:51.80,3:09.70,3:28.09,3:46.25,4:04.73,4:23.51,4:41.91,4:59.29,5:17.10,5:34.23,5:51.94,6:10.21,6:28.49,6:47.38,7:06.44,7:24.86,7:43.77,8:02.41,8:21.79,8:40.82,9:00.11,9:18.80,9:38.28,9:54.88,10:15.10,10:33.15,10:51.23,11:09.36,11:27.97,11:46.63,12:05.97,12:25.38,12:44.97,13:04.49,13:24.02,13:43.38,14:02.67,14:21.69,14:40.34,14:58.43,15:15.34,15:32.95
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Yuma YAMAMOTO,JPN,23.0,18.04,38.89,1:00.47,1:20.43,1:38.88,1:57.47,2:16.11,2:34.52,2:52.29,3:10.35,3:28.46,3:46.91,4:05.22,4:23.83,4:42.60,5:00.30,5:18.13,5:36.02,5:54.02,6:12.23,6:30.58,6:49.34,7:08.59,7:27.82,7:47.26,8:06.80,8:26.65,8:46.92,9:07.05,9:27.09,9:47.29,10:05.45,10:27.80,10:48.03,11:08.33,11:28.95,11:49.31,12:09.88,12:30.56,12:51.17,13:11.58,13:31.49,13:51.48,14:11.23,14:30.95,14:50.75,15:10.55,15:29.75,15:47.87,16:05.57
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,2.0,Sifan HASSAN,NED,31.0,18.18,36.56,55.45,1:13.11,1:30.44,1:47.87,2:05.50,2:22.67,2:39.96,2:57.31,3:14.70,3:31.84,3:49.06,4:06.17,4:23.66,4:40.87,4:58.34,5:15.85,5:33.55,5:50.90,6:08.43,6:25.85,6:43.66,7:01.04,7:18.52,7:35.62,7:53.52,8:11.00,8:28.80,8:46.54,9:04.33,9:21.81,9:39.71,9:57.21,10:14.93,10:30.60,10:50.32,11:08.26,11:26.34,11:44.46,12:02.60,12:20.38,12:38.33,12:55.92,13:13.57,13:30.77,13:47.46,14:03.14,14:18.02,14:32.29
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,2.0,Faith KIPYEGON,KEN,30.0,18.09,36.62,55.69,1:13.55,1:30.79,1:48.21,2:05.67,2:23.33,2:40.82,2:57.98,3:15.21,3:32.61,3:49.84,4:07.00,4:24.12,4:42.55,4:58.76,5:16.19,5:34.03,5:51.43,6:09.03,6:26.04,6:44.25,7:02.70,7:19.05,7:36.29,7:53.80,8:12.29,8:29.04,8:46.84,9:04.51,9:22.14,9:39.87,9:57.54,10:15.15,10:32.82,10:50.45,11:08.53,11:26.50,11:44.92,12:02.84,12:20.76,12:38.53,12:56.23,13:13.87,13:31.13,13:47.65,14:03.33,14:18.13,14:32.31
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,2.0,Freweyni HAILU,ETH,23.0,18.33,38.30,58.03,1:15.80,1:33.38,1:50.39,2:08.03,2:25.40,2:42.64,2:59.58,3:17.38,3:34.39,3:51.39,4:08.16,4:25.38,4:43.23,4:59.60,5:17.01,5:34.63,5:52.08,6:09.49,6:27.08,6:44.83,7:03.19,7:19.65,7:37.19,7:54.40,8:12.80,8:29.75,8:47.47,9:05.34,9:22.73,9:40.48,9:58.16,10:15.66,10:34.22,10:51.01,11:09.11,11:27.15,11:45.09,12:03.35,12:21.31,12:39.25,12:56.85,13:14.45,13:31.54,13:48.30,14:03.82,14:18.96,14:34.16
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,2.0,Lilian Kasait RENGERUK,KEN,26.0,18.59,37.43,55.84,1:13.82,1:30.95,1:46.83,2:05.94,2:23.67,2:41.10,2:58.33,3:15.40,3:32.71,3:49.95,4:07.14,4:24.43,4:42.68,4:58.95,5:16.55,5:34.19,5:51.62,6:09.16,6:26.65,6:44.35,7:02.84,7:19.20,7:36.62,7:54.02,8:12.55,8:29.14,8:46.93,9:04.72,9:22.34,9:40.06,9:57.70,10:15.26,10:33.07,10:50.70,11:08.64,11:26.74,11:44.91,12:02.94,12:20.97,12:38.74,12:56.24,13:13.99,13:31.39,13:47.90,14:03.65,14:20.89,14:36.61
