COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M,3100M,3200M,3300M,3400M,3500M,3600M,3700M,3800M,3900M,4000M,4100M,4200M,4300M,4400M,4500M,4600M,4700M,4800M,4900M,5000M
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Elise VANDERELST,BEL,28.0,16.80,35.20,54.16,1:11.94,1:30.25,1:48.26,2:05.80,2:23.19,2:42.04,2:59.64,3:17.81,3:35.47,3:53.66,4:11.76,4:29.81,4:48.08,5:06.63,5:24.95,5:43.35,6:01.74,6:20.47,6:38.98,6:57.20,7:15.68,7:34.48,7:52.50,8:09.86,8:27.01,8:43.92,9:01.01,9:18.16,9:35.83,9:53.66,10:12.02,10:29.79,10:47.13,11:04.50,11:22.02,11:39.60,11:57.32,12:15.45,12:34.05,12:52.44,13:10.77,13:29.48,13:47.97,14:05.88,14:23.66,14:41.85,15:00.52
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Gabriela DEBUES-STAFFORD,CAN,30.0,16.11,34.05,52.58,1:10.67,1:28.95,1:46.88,2:04.49,2:22.74,2:40.96,2:58.95,3:17.08,3:35.45,3:53.48,4:11.70,4:29.72,4:47.93,5:06.61,5:24.76,5:43.12,6:01.70,6:20.33,6:38.73,6:56.92,7:15.57,7:34.41,7:52.92,8:10.34,8:27.73,8:45.40,9:03.73,9:21.86,9:40.25,9:58.86,10:17.54,10:35.82,10:54.31,11:12.83,11:31.53,11:50.14,12:08.59,12:26.91,12:45.59,13:04.03,13:22.74,13:41.46,13:59.51,14:15.92,14:32.69,14:48.25,15:04.30
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Wuga HE,CHN,27.0,17.26,35.25,53.78,1:11.84,1:30.32,1:48.31,2:05.76,2:23.66,2:42.12,2:59.61,3:17.80,3:36.09,3:54.31,4:12.39,4:30.48,4:48.62,5:07.26,5:25.50,5:43.90,6:02.13,6:20.82,6:39.24,6:57.54,7:15.93,7:34.80,7:53.16,8:10.60,8:27.95,8:45.64,9:03.50,9:21.15,9:38.86,9:56.69,10:14.68,10:32.49,10:50.64,11:09.62,11:28.29,11:46.35,12:04.53,12:22.70,12:41.24,12:59.56,13:17.82,13:36.40,13:55.09,14:13.28,14:31.57,14:49.07,15:06.01
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Margaret AKIDOR,KEN,23.0,16.57,34.86,53.94,1:10.95,1:28.91,1:46.55,2:04.08,2:22.26,2:40.33,2:58.27,3:16.18,3:34.21,3:52.46,4:10.59,4:28.68,4:47.13,5:05.59,5:23.86,5:42.18,6:00.88,6:19.37,6:37.75,6:56.24,7:14.71,7:33.59,7:52.10,8:08.86,8:25.14,8:41.82,8:59.00,9:16.99,9:35.48,9:54.22,10:12.82,10:31.51,10:50.39,11:09.50,11:28.88,11:47.81,12:07.05,12:26.42,12:45.92,13:04.59,13:23.35,13:42.23,14:00.88,14:18.72,14:36.24,14:53.37,15:10.91
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Idaira PRIETO,ESP,28.0,17.41,35.34,54.21,1:11.64,1:30.02,1:47.92,2:05.54,2:23.51,2:41.79,2:59.32,3:17.48,3:35.89,3:54.10,4:12.14,4:30.35,4:48.45,5:07.02,5:25.26,5:43.72,6:01.96,6:20.65,6:39.12,6:57.41,7:15.69,7:34.53,7:53.07,8:10.82,8:28.12,8:45.80,9:03.75,9:21.67,9:39.90,9:58.71,10:17.70,10:36.05,10:54.53,11:13.06,11:31.78,11:50.39,12:08.97,12:27.42,12:45.76,13:04.29,13:23.00,13:41.68,14:00.10,14:18.35,14:36.65,14:54.12,15:11.16
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Melissa COURTNEY-BRYANT,GBR,32.0,17.07,35.04,53.83,1:11.74,1:30.16,1:48.08,2:05.60,2:23.38,2:41.88,2:59.50,3:17.63,3:35.80,3:53.96,4:12.04,4:30.18,4:48.29,5:06.95,5:25.21,5:43.78,6:02.15,6:20.97,6:39.37,6:57.75,7:16.14,7:34.69,7:53.28,8:11.10,8:28.44,8:46.51,9:04.68,9:23.07,9:41.88,10:00.85,10:19.88,10:39.16,10:58.67,11:18.25,11:37.81,11:57.20,12:16.57,12:36.21,12:55.75,13:15.34,13:34.92,13:54.80,14:14.42,14:33.33,14:51.96,15:10.37,15:27.70
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Georgia GRIFFITH,AUS,29.0,17.08,34.62,53.41,1:11.43,1:29.86,1:47.51,2:04.85,2:23.07,2:41.53,2:59.05,3:17.08,3:35.21,3:53.40,4:11.47,4:29.58,4:47.90,5:06.45,5:24.77,5:43.22,6:01.58,6:20.19,6:38.72,6:56.97,7:15.48,7:34.29,7:52.27,8:09.48,8:26.46,8:43.94,9:01.87,9:20.73,9:39.91,9:59.34,10:19.27,10:39.37,10:59.36,11:19.59,11:40.02,12:00.51,12:20.98,12:41.21,13:01.52,13:21.61,13:41.36,14:00.92,14:20.29,14:38.94,14:57.26,15:15.22,15:33.15
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Yuma YAMAMOTO,JPN,25.0,16.99,34.10,52.15,1:10.05,1:27.89,1:45.51,2:03.03,2:21.19,2:39.27,2:57.28,3:15.15,3:33.20,3:51.38,4:09.65,4:27.69,4:46.05,5:04.35,5:22.68,5:41.11,5:59.90,6:18.41,6:36.87,6:55.24,7:14.01,7:32.73,7:51.57,8:09.82,8:28.25,8:46.82,9:05.53,9:24.41,9:43.82,10:03.19,10:22.88,10:42.44,11:02.30,11:22.02,11:41.90,12:01.74,12:21.95,12:42.13,13:02.28,13:22.28,13:42.24,14:02.24,14:22.30,14:41.62,15:00.78,15:18.96,15:36.29
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Elena BURKARD,GER,34.0,17.34,34.72,53.14,1:11.18,1:29.50,1:47.39,2:05.06,2:23.31,2:41.64,2:59.28,3:17.37,3:35.68,3:52.99,4:11.22,4:29.37,4:47.63,5:06.14,5:24.51,5:42.98,6:01.40,6:19.95,6:38.44,6:56.75,7:15.35,7:34.13,7:52.79,8:10.76,8:28.64,8:47.04,9:05.94,9:24.89,9:44.38,10:03.97,10:23.89,10:43.53,11:03.44,11:23.44,11:43.58,12:03.48,12:23.58,12:43.47,13:03.46,13:23.05,13:42.89,14:02.62,14:21.69,14:40.62,14:59.92,15:18.91,15:37.33
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Farida ABAROGE,ART,32.0,17.86,35.77,54.56,1:12.32,1:30.91,1:48.95,2:06.69,2:24.55,2:43.37,3:01.87,3:20.57,3:39.98,3:59.62,4:19.00,4:38.68,4:58.30,5:18.44,5:38.26,5:58.04,6:17.58,6:38.04,6:58.60,7:18.82,7:39.28,8:00.19,8:21.02,8:41.54,9:02.22,9:23.27,9:44.15,10:04.79,10:25.46,10:46.42,11:07.19,11:27.51,11:47.83,12:08.67,12:29.74,12:50.07,13:10.70,13:31.02,13:51.31,14:12.46,14:33.49,14:53.28,15:12.71,15:31.41,15:49.08,16:08.69,16:27.35
