COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M,3100M,3200M,3300M,3400M,3500M,3600M,3700M,3800M,3900M,4000M,4100M,4200M,4300M,4400M,4500M,4600M,4700M,4800M,4900M,5000M,5100M,5200M,5300M,5400M,5500M,5600M,5700M,5800M,5900M,6000M,6100M,6200M,6300M,6400M,6500M,6600M,6700M,6800M,6900M,7000M,7100M,7200M,7300M,7400M,7500M,7600M,7700M,7800M,7900M,8000M,8100M,8200M,8300M,8400M,8500M,8600M,8700M,8800M,8900M,9000M,9100M,9200M,9300M,9400M,9500M,9600M,9700M,9800M,9900M,10000M
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Calli HAUGER-THACKERY,GBR,33.0,18.89,38.35,58.86,1:18.96,1:38.92,1:57.81,2:16.76,2:36.49,2:55.85,3:13.98,3:32.10,3:50.22,4:08.98,4:27.02,4:45.46,5:03.76,5:22.24,5:40.48,5:59.00,6:17.72,6:36.18,6:54.49,7:12.78,7:31.63,7:50.43,8:08.45,8:27.12,8:45.72,9:04.71,9:23.62,9:42.55,10:01.92,10:20.09,10:38.09,10:56.87,11:15.63,11:34.31,11:52.38,12:11.03,12:29.97,12:48.45,13:07.12,13:25.76,13:44.48,14:03.03,14:22.07,14:41.32,15:00.43,15:19.10,15:37.87,15:56.85,16:15.53,16:34.17,16:52.93,17:11.74,17:30.86,17:49.81,18:09.00,18:28.32,18:48.00,19:07.32,19:26.81,19:46.01,20:05.66,20:25.30,20:45.80,21:05.80,21:25.66,21:45.20,22:04.79,22:24.72,22:44.61,23:04.07,23:23.58,23:43.06,24:02.72,24:22.31,24:41.91,25:01.37,25:20.67,25:40.15,25:59.52,26:18.85,26:38.30,26:57.39,27:16.81,27:36.14,27:55.65,28:14.77,28:34.49,28:54.39,29:13.41,29:32.29,29:51.07,30:10.10,30:28.34,30:46.28,31:04.10,31:21.65,31:37.81
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Elise CRANNY,USA,29.0,17.77,37.03,56.98,1:17.18,1:37.18,1:56.25,2:16.22,2:35.79,2:54.97,3:13.10,3:31.68,3:49.80,4:08.43,4:26.48,4:44.83,5:03.26,5:21.69,5:39.80,5:58.35,6:16.91,6:35.16,6:53.61,7:12.07,7:30.82,7:49.64,8:07.24,8:25.06,8:44.41,9:03.34,9:21.77,9:40.50,9:59.96,10:18.29,10:37.26,10:55.83,11:13.89,11:32.04,11:50.43,12:09.34,12:27.58,12:47.29,13:04.86,13:23.02,13:41.37,13:59.58,14:18.26,14:36.94,14:55.96,15:15.26,15:32.91,15:50.65,16:09.67,16:28.36,16:47.53,17:06.52,17:26.45,17:45.50,18:05.18,18:23.74,18:42.80,19:01.79,19:21.50,19:41.01,20:00.43,20:20.03,20:39.66,20:59.63,21:19.93,21:39.82,21:59.43,22:19.08,22:39.48,22:59.01,23:18.86,23:38.81,23:58.99,24:18.46,24:38.21,24:58.02,25:18.22,25:38.27,25:58.37,26:18.82,26:38.99,26:58.12,27:17.58,27:37.00,27:57.11,28:16.96,28:36.61,28:56.87,29:16.44,29:35.60,29:54.86,30:14.23,30:32.73,30:50.11,31:07.41,31:24.15,31:40.07
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Jana VAN LENT,BEL,24.0,17.97,37.31,56.76,1:16.92,1:37.07,1:55.83,2:15.78,2:35.58,2:54.31,3:12.61,3:30.81,3:49.11,4:07.45,4:25.45,4:44.02,5:02.19,5:20.67,5:38.68,5:57.30,6:15.63,6:34.05,6:52.25,7:10.61,7:29.39,7:48.03,8:06.58,8:25.60,8:44.56,9:03.78,9:22.44,9:41.37,10:00.22,10:18.89,10:37.56,10:56.44,11:15.41,11:33.37,11:51.76,12:11.96,12:29.70,12:48.76,13:07.51,13:26.38,13:45.60,14:04.43,14:23.55,14:42.45,15:01.46,15:20.28,15:39.32,15:58.80,16:18.06,16:36.89,16:56.05,17:15.23,17:34.81,17:54.00,18:13.09,18:32.11,18:51.87,19:11.08,19:30.42,19:49.58,20:09.25,20:28.47,20:47.94,21:07.61,21:27.44,21:47.19,22:06.55,22:25.95,22:45.53,23:04.68,23:24.07,23:43.30,24:03.05,24:22.56,24:41.66,25:01.17,25:21.05,25:40.38,25:59.85,26:19.18,26:38.61,26:57.68,27:17.09,27:36.39,27:55.89,28:15.07,28:34.41,28:54.05,29:13.69,29:32.81,29:51.71,30:10.81,30:29.82,30:48.61,31:07.09,31:25.67,31:44.05
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Emily INFELD,USA,35.0,18.15,37.62,57.46,1:17.99,1:38.06,1:56.97,2:16.49,2:36.20,2:55.56,3:13.68,3:32.19,3:50.32,4:09.33,4:27.18,4:45.66,5:03.83,5:22.39,5:40.47,5:58.87,6:17.28,6:35.93,6:54.23,7:12.56,7:31.33,7:50.18,8:08.11,8:27.02,8:45.59,9:04.95,9:23.63,9:42.03,10:00.72,10:19.35,10:37.75,10:56.69,11:14.87,11:33.68,11:51.56,12:10.55,12:29.96,12:49.00,13:07.94,13:27.06,13:46.73,14:05.95,14:25.63,14:45.01,15:04.36,15:23.63,15:42.93,16:02.18,16:21.35,16:40.11,16:59.91,17:19.34,17:38.73,17:57.98,18:17.58,18:36.91,18:56.20,19:16.15,19:35.81,19:55.49,20:15.25,20:34.88,20:54.33,21:13.97,21:33.84,21:53.43,22:12.56,22:31.90,22:51.81,23:11.26,23:30.84,23:50.71,24:10.71,24:30.31,24:49.55,25:09.36,25:28.99,25:48.59,26:07.96,26:27.69,26:47.67,27:07.67,27:27.48,27:47.67,28:07.75,28:27.36,28:46.30,29:04.96,29:23.64,29:42.05,30:00.74,30:18.99,30:37.35,30:55.60,31:13.48,31:30.74,31:47.65
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Klara LUKAN,SLO,25.0,17.68,37.37,57.08,1:17.56,1:37.68,1:56.72,2:16.33,2:36.00,2:55.26,3:13.40,3:31.44,3:49.62,4:08.20,4:26.27,4:44.54,5:02.74,5:21.04,5:39.01,5:57.70,6:16.00,6:34.38,6:52.66,7:10.83,7:29.52,7:48.04,8:06.32,8:25.31,8:44.39,9:03.50,9:21.94,9:40.71,9:59.41,10:17.99,10:36.80,10:55.63,11:13.57,11:31.81,11:50.21,12:09.10,12:27.93,12:47.23,13:05.97,13:24.69,13:44.07,14:03.35,14:22.72,14:42.30,15:01.86,15:21.47,15:41.22,16:01.03,16:21.04,16:40.62,16:59.66,17:19.28,17:39.07,17:58.59,18:17.75,18:37.11,18:56.62,19:16.26,19:35.95,19:55.58,20:15.12,20:34.67,20:54.22,21:13.68,21:33.84,21:53.25,22:12.86,22:32.40,22:52.06,23:11.46,23:30.96,23:50.71,24:10.69,24:30.10,24:49.39,25:09.00,25:28.86,25:48.38,26:07.83,26:27.55,26:47.71,27:07.38,27:27.29,27:47.38,28:07.70,28:27.22,28:46.61,29:06.07,29:25.89,29:44.84,30:01.72,30:18.40,30:37.17,30:57.10,31:15.79,31:33.57,31:49.76
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Daisy JEPKEMEI,KAZ,30.0,17.68,36.97,56.62,1:16.99,1:36.46,1:54.54,2:14.74,2:34.62,2:53.12,3:11.39,3:29.60,3:48.20,4:06.47,4:24.59,4:42.98,5:01.33,5:19.71,5:38.07,5:56.67,6:14.97,6:33.44,6:51.58,7:10.07,7:28.31,7:47.42,8:05.98,8:24.88,8:43.93,9:02.89,9:21.27,9:40.05,9:58.92,10:17.76,10:36.50,10:55.42,11:13.43,11:31.37,11:49.81,12:08.70,12:27.69,12:46.31,13:05.26,13:24.07,13:43.10,14:01.82,14:20.77,14:39.83,14:59.17,15:18.18,15:37.37,15:56.62,16:15.70,16:34.67,16:53.61,17:12.94,17:32.41,17:51.68,18:10.96,18:30.59,18:50.26,19:09.90,19:29.34,19:48.81,20:08.37,20:28.13,20:48.08,21:07.83,21:27.24,21:47.05,22:06.87,22:26.32,22:45.83,23:05.04,23:24.41,23:44.01,24:03.53,24:22.99,24:42.19,25:01.73,25:21.34,25:40.65,25:59.73,26:19.75,26:39.26,26:58.79,27:18.14,27:37.91,27:57.53,28:16.67,28:36.39,28:56.65,29:16.29,29:35.41,29:54.64,30:14.00,30:32.52,30:52.59,31:12.30,31:31.54,31:49.87
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Isobel BATT-DOYLE,AUS,30.0,17.93,37.53,57.16,1:17.67,1:37.69,1:56.73,2:16.13,2:36.01,2:55.20,3:13.16,3:31.77,3:49.93,4:08.48,4:26.58,4:44.98,5:03.30,5:21.78,5:40.05,5:58.63,6:17.07,6:35.66,6:53.94,7:12.34,7:31.27,7:49.89,8:07.85,8:26.78,8:45.42,9:04.71,9:23.37,9:41.79,10:00.53,10:19.17,10:37.73,10:56.68,11:15.33,11:33.98,11:52.39,12:11.25,12:30.14,12:49.09,13:08.18,13:27.33,13:46.53,14:05.71,14:25.36,14:44.74,15:04.11,15:23.39,15:42.40,16:01.90,16:21.16,16:39.88,16:59.66,17:19.09,17:38.49,17:57.74,18:17.29,18:36.62,18:56.12,19:15.85,19:35.54,19:55.20,20:14.96,20:34.53,20:54.06,21:13.74,21:33.55,21:53.08,22:12.61,22:32.09,22:51.59,23:11.01,23:30.64,23:50.40,24:10.45,24:30.05,24:49.29,25:09.12,25:28.65,25:48.24,26:07.67,26:27.40,26:47.43,27:07.36,27:27.26,27:47.40,28:07.54,28:27.02,28:46.52,29:05.56,29:24.84,29:43.84,30:02.40,30:20.98,30:39.24,30:58.41,31:17.52,31:35.77,31:53.41
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Taylor ROE,USA,25.0,18.83,38.40,58.51,1:18.96,1:38.65,1:57.82,2:17.02,2:36.86,2:56.14,3:14.49,3:32.63,3:50.59,4:08.98,4:26.75,4:45.12,5:03.15,5:21.41,5:39.64,5:58.19,6:16.71,6:34.92,6:52.67,7:11.15,7:29.90,7:48.55,8:07.20,8:26.27,8:45.14,9:04.30,9:22.85,9:41.56,10:00.31,10:18.85,10:37.43,10:56.31,11:15.49,11:32.86,11:51.20,12:09.80,12:28.41,12:47.05,13:05.41,13:24.35,13:43.59,14:02.46,14:21.56,14:40.74,15:00.51,15:19.49,15:38.41,15:57.65,16:17.28,16:36.58,16:56.12,17:15.78,17:36.35,17:55.77,18:15.65,18:35.87,18:56.42,19:16.49,19:36.18,19:55.85,20:15.55,20:35.06,20:54.71,21:14.33,21:34.60,21:54.49,22:14.46,22:34.74,22:55.38,23:15.45,23:35.69,23:55.93,24:16.26,24:36.04,24:56.06,25:16.17,25:36.66,25:56.87,26:16.91,26:36.93,26:56.98,27:16.82,27:36.44,27:56.48,28:16.76,28:36.59,28:56.68,29:17.01,29:37.22,29:56.90,30:16.49,30:36.82,30:57.01,31:16.57,31:36.38,31:54.36,32:12.19
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Elisa PALMERO,ITA,26.0,18.40,37.78,57.60,1:17.89,1:37.83,1:56.32,2:16.11,2:35.69,2:54.68,3:12.85,3:31.10,3:49.26,4:07.77,4:25.98,4:44.32,5:02.65,5:21.05,5:39.13,5:57.85,6:16.21,6:34.92,6:53.27,7:11.84,7:30.50,7:49.43,8:07.96,8:27.34,8:45.77,9:05.18,9:23.89,9:42.83,10:02.10,10:20.36,10:39.65,10:58.61,11:19.04,11:36.84,11:56.15,12:15.49,12:34.69,12:53.87,13:13.21,13:32.92,13:52.82,14:12.05,14:31.62,14:51.05,15:10.65,15:29.96,15:49.08,16:08.30,16:27.76,16:47.21,17:06.54,17:26.14,17:46.27,18:05.64,18:25.53,18:45.16,19:05.11,19:24.67,19:44.42,20:03.99,20:23.94,20:43.45,21:03.00,21:22.72,21:42.88,22:02.41,22:22.38,22:42.53,23:02.93,23:22.79,23:43.01,24:03.11,24:23.26,24:43.14,25:02.73,25:22.52,25:42.61,26:02.09,26:21.49,26:41.69,27:01.71,27:21.17,27:41.00,28:01.41,28:21.40,28:41.09,29:00.63,29:20.30,29:40.04,29:59.86,30:19.39,30:39.14,30:58.57,31:17.36,31:36.07,31:54.74,32:12.72
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Mikuni YADA,JPN,26.0,18.58,37.82,57.85,1:16.98,1:37.12,1:55.81,2:15.94,2:35.20,2:54.05,3:12.30,3:30.46,3:48.84,4:07.49,4:25.61,4:44.13,5:02.39,5:20.92,5:38.93,5:57.68,6:15.90,6:34.60,6:53.02,7:11.57,7:30.26,7:48.88,8:07.43,8:26.56,8:45.42,9:04.59,9:23.15,9:42.28,10:01.36,10:19.79,10:38.75,10:58.10,11:18.92,11:37.22,11:56.33,12:15.79,12:35.58,12:55.55,13:15.13,13:35.32,13:55.74,14:15.82,14:35.66,14:55.76,15:15.88,15:35.29,15:54.29,16:14.26,16:34.55,16:54.15,17:14.10,17:34.15,17:54.88,18:14.43,18:34.68,18:54.91,19:14.87,19:35.30,19:55.39,20:15.22,20:35.68,20:55.85,21:15.83,21:36.23,21:56.64,22:16.92,22:37.07,22:57.40,23:17.83,23:37.66,23:57.92,24:17.87,24:37.59,24:57.54,25:17.10,25:36.97,25:57.17,26:16.69,26:36.57,26:56.31,27:16.19,27:35.70,27:55.48,28:15.53,28:35.58,28:55.18,29:14.67,29:34.69,29:54.64,30:14.56,30:34.35,30:54.21,31:13.87,31:32.84,31:51.58,32:10.62,32:28.94
