COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M,3100M,3200M,3300M,3400M,3500M,3600M,3700M,3800M,3900M,4000M,4100M,4200M,4300M,4400M,4500M,4600M,4700M,4800M,4900M,5000M,5100M,5200M,5300M,5400M,5500M,5600M,5700M,5800M,5900M,6000M,6100M,6200M,6300M,6400M,6500M,6600M,6700M,6800M,6900M,7000M,7100M,7200M,7300M,7400M,7500M,7600M,7700M,7800M,7900M,8000M,8100M,8200M,8300M,8400M,8500M,8600M,8700M,8800M,8900M,9000M,9100M,9200M,9300M,9400M,9500M,9600M,9700M,9800M,9900M,10000M
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Francine NIYOMUKUNZI,BDI,26.0,18.48,38.14,58.00,1:18.11,1:38.02,1:56.58,2:16.08,2:35.72,2:55.10,3:13.18,3:31.53,3:49.49,4:07.96,4:26.04,4:44.14,5:02.35,5:20.87,5:38.81,5:57.23,6:15.80,6:34.12,6:52.46,7:10.49,7:29.05,7:47.86,8:06.08,8:24.84,8:44.14,9:02.83,9:21.32,9:40.08,9:59.07,10:17.83,10:36.54,10:55.27,11:13.51,11:31.63,11:50.02,12:08.93,12:28.02,12:46.65,13:05.47,13:24.25,13:43.38,14:02.26,14:21.73,14:41.08,15:00.66,15:19.84,15:39.15,15:58.50,16:17.82,16:37.54,16:57.49,17:17.66,17:37.80,17:57.93,18:17.85,18:37.56,18:57.95,19:18.16,19:38.13,19:58.20,20:18.19,20:38.64,20:59.30,21:20.20,21:41.19,22:02.47,22:23.29,22:44.50,23:05.98,23:27.02,23:48.11,24:09.11,24:29.46,24:49.90,25:10.80,25:31.55,25:52.18,26:12.96,26:33.48,26:54.79,27:16.07,27:36.92,27:57.77,28:18.60,28:40.67,29:02.27,29:23.96,29:44.70,30:05.73,30:26.71,30:48.19,31:09.00,31:30.08,31:51.35,32:12.20,32:32.65,32:52.59
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Eva DIETERICH,GER,26.0,18.15,37.86,57.68,1:18.22,1:38.23,1:57.16,2:16.56,2:36.23,2:55.60,3:13.97,3:32.53,3:50.56,4:09.47,4:27.51,4:46.08,5:04.52,5:22.91,5:41.30,5:59.80,6:19.02,6:37.89,6:57.06,7:16.24,7:35.66,7:55.02,8:14.65,8:34.57,8:54.96,9:14.58,9:34.69,9:54.78,10:15.40,10:35.57,10:55.80,11:15.82,11:36.50,11:56.92,12:17.53,12:38.11,12:59.06,13:19.66,13:40.12,14:00.67,14:21.57,14:41.68,15:02.05,15:22.19,15:43.13,16:03.54,16:24.38,16:45.01,17:06.21,17:26.45,17:47.40,18:08.30,18:29.76,18:50.75,19:12.01,19:32.72,19:54.12,20:15.11,20:36.14,20:56.94,21:18.14,21:38.74,21:59.76,22:20.53,22:42.08,23:03.15,23:24.23,23:45.69,24:07.33,24:28.52,24:49.81,25:10.78,25:32.29,25:53.25,26:14.65,26:35.99,26:57.46,27:18.11,27:39.10,28:00.42,28:21.81,28:42.69,29:04.03,29:25.07,29:46.33,30:07.43,30:28.36,30:48.89,31:09.50,31:29.26,31:49.24,32:09.31,32:29.74,32:48.97,33:08.56,33:27.92,33:46.76
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Nubia DE OLIVEIRA SILVA,BRA,23.0,18.39,38.15,57.09,1:17.61,1:37.39,1:56.82,2:16.20,2:35.87,2:54.99,3:13.39,3:31.99,3:50.19,4:09.40,4:28.04,4:46.89,5:06.44,5:26.21,5:46.74,6:07.58,6:28.31,6:49.12,7:09.80,7:30.60,7:51.60,8:12.71,8:33.77,8:54.91,9:16.34,9:37.54,9:58.78,10:19.67,10:41.20,11:03.36,11:25.36,11:47.80,12:10.14,12:32.57,12:55.59,13:19.51,13:43.88,14:07.67,14:31.99,14:55.90,15:19.86,15:44.06,16:08.04,16:32.01,16:56.08,17:19.64,17:43.41,18:06.37,18:29.98,18:52.25,19:15.02,19:38.48,20:01.69,20:24.54,20:47.50,21:09.22,21:31.33,21:53.44,22:14.45,22:36.09,22:59.11,23:22.12,23:44.69,24:07.19,24:29.05,24:50.25,25:11.38,25:32.68,25:55.07,26:17.46,26:39.38,27:01.90,27:23.55,27:45.31,28:07.64,28:29.56,28:51.72,29:13.96,29:35.72,29:56.41,30:17.75,30:38.26,30:59.42,31:20.42,31:41.96,32:03.90,32:25.84,32:48.35,33:11.09,33:33.48,33:55.53,34:17.63,34:39.40,35:00.32,35:21.01,35:41.34,36:00.21
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Gudaf TSEGAY,ETH,26.0,18.65,40.14,1:02.47,1:25.17,1:47.21,2:10.27,2:33.19,2:55.49,3:18.32,3:40.43,4:02.64,4:26.08,4:45.42,5:03.16,5:22.56,5:39.53,5:57.31,6:15.78,6:34.03,6:52.73,7:11.46,7:30.21,7:48.62,8:07.95,8:26.37,8:45.45,9:04.44,9:23.55,9:41.97,10:01.30,10:20.06,10:39.80,10:57.73,11:16.99,11:36.17,11:54.74,12:14.47,12:33.80,12:52.97,13:12.96,13:31.53,13:51.39,14:10.30,14:29.65,14:49.19,15:08.93,15:28.18,15:46.09,16:05.26,16:24.38,16:44.01,17:03.00,17:22.37,17:42.06,18:01.37,18:20.25,18:38.71,18:57.14,19:15.93,19:33.51,19:51.47,20:09.52,20:27.58,20:45.66,21:03.75,21:22.00,21:40.21,21:57.99,22:16.73,22:35.17,22:53.73,23:12.81,23:30.63,23:49.25,24:07.62,24:27.61,24:44.48,25:02.30,25:21.37,25:38.63,25:56.84,26:14.81,26:33.39,26:50.55,27:09.58,27:28.32,27:47.10,28:05.02,28:23.34,28:41.12,28:59.41,29:17.42,29:35.62,29:53.22,30:11.07,30:28.17,30:44.56,30:59.23,31:13.14,31:27.18
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Letesenbet GIDEY,ETH,25.0,19.32,41.08,1:03.84,1:25.63,1:47.76,2:10.86,2:33.52,2:56.59,3:18.94,3:41.07,4:03.34,4:26.30,4:45.90,5:03.47,5:23.28,5:40.34,5:58.33,6:17.26,6:35.41,6:54.06,7:12.64,7:31.09,7:49.95,8:09.04,8:27.35,8:46.41,9:05.59,9:24.60,9:43.23,10:01.72,10:20.45,10:39.74,10:58.40,11:17.61,11:37.22,11:55.90,12:15.29,12:33.92,12:53.50,13:14.76,13:31.84,13:51.73,14:10.90,14:31.03,14:49.98,15:09.17,15:28.91,15:47.31,16:06.14,16:25.38,16:44.74,17:04.29,17:23.03,17:42.81,18:02.09,18:20.56,18:38.90,18:57.38,19:16.10,19:33.84,19:51.95,20:09.99,20:27.90,20:46.81,21:04.27,21:22.53,21:40.79,21:58.49,22:16.47,22:34.80,22:53.55,23:11.58,23:30.08,23:48.76,24:07.72,24:26.33,24:43.95,25:02.05,25:20.40,25:38.88,25:56.33,26:14.30,26:32.89,26:50.44,27:09.27,27:27.91,27:46.66,28:04.86,28:23.04,28:40.88,28:58.98,29:17.43,29:35.62,29:53.15,30:11.05,30:28.16,30:44.56,30:59.19,31:13.53,31:28.16
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Ejgayehu TAYE,ETH,24.0,19.06,40.62,1:03.25,1:26.36,1:47.28,2:10.01,2:32.28,2:55.26,3:17.53,3:39.73,4:02.02,4:25.19,4:44.00,5:02.53,5:21.86,5:39.43,5:57.57,6:16.30,6:35.31,6:55.70,7:12.44,7:31.01,7:49.75,8:08.80,8:27.03,8:46.12,9:04.96,9:25.14,9:42.92,10:01.89,10:20.73,10:39.64,10:58.58,11:17.68,11:37.46,11:56.15,12:15.80,12:34.33,12:54.07,13:13.14,13:32.30,13:52.17,14:11.62,14:30.61,14:50.22,15:09.30,15:28.82,15:46.23,16:05.51,16:24.74,16:44.35,17:06.42,17:22.82,17:42.34,18:01.88,18:20.57,18:39.75,18:58.20,19:16.94,19:33.94,19:52.09,20:10.15,20:28.11,20:46.27,21:04.39,21:22.60,21:40.94,21:58.66,22:16.77,22:35.16,22:53.79,23:11.81,23:30.41,23:49.10,24:07.60,24:25.72,24:43.75,25:01.71,25:20.17,25:38.05,25:56.17,26:14.02,26:32.17,26:50.34,27:09.16,27:27.93,27:46.79,28:05.04,28:23.15,28:41.01,28:59.14,29:17.50,29:35.82,29:53.72,30:11.64,30:28.83,30:44.78,30:59.60,31:13.89,31:28.31
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Irine Jepchumba KIMAIS,KEN,25.0,18.80,40.40,1:05.26,1:25.28,1:47.42,2:10.54,2:33.17,2:57.16,3:18.56,3:40.76,4:03.52,4:25.36,4:45.47,5:02.72,5:21.98,5:40.00,5:57.46,6:15.96,6:35.06,6:53.32,7:11.86,7:30.74,7:49.80,8:08.89,8:26.76,8:45.84,9:04.94,9:25.68,9:42.54,10:01.70,10:21.03,10:41.80,10:58.80,11:17.88,11:37.21,11:56.21,12:15.48,12:34.20,12:54.24,13:13.46,13:32.54,13:51.64,14:11.40,14:30.29,14:49.33,15:09.12,15:28.88,15:47.51,16:06.31,16:25.57,16:44.74,17:03.84,17:22.92,17:42.56,18:01.78,18:20.31,18:38.49,18:56.85,19:15.78,19:34.51,19:52.15,20:10.23,20:28.23,20:48.82,21:04.68,21:22.97,21:41.13,21:59.10,22:16.88,22:35.45,22:54.17,23:12.22,23:30.71,23:49.40,24:07.97,24:26.41,24:44.57,25:02.59,25:21.11,25:38.91,25:56.99,26:14.89,26:33.10,26:50.97,27:09.79,27:28.56,27:47.89,28:06.86,28:23.62,28:41.51,28:59.64,29:18.74,29:35.80,29:53.42,30:11.64,30:29.78,30:44.69,31:00.13,31:16.19,31:32.19
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Alicia MONSON,USA,25.0,18.54,39.56,1:01.88,1:25.67,1:46.42,2:09.22,2:31.58,2:54.62,3:16.73,3:38.86,4:01.30,4:22.95,4:42.16,5:01.12,5:20.10,5:38.30,5:56.30,6:14.47,6:32.86,6:52.03,7:10.30,7:29.10,7:47.94,8:06.94,8:25.33,8:44.39,9:03.04,9:22.30,9:40.85,10:00.19,10:19.13,10:38.71,10:56.68,11:15.86,11:35.56,11:53.76,12:13.41,12:32.55,12:52.14,13:12.17,13:30.62,13:50.33,14:10.78,14:29.63,14:48.27,15:07.71,15:27.08,15:45.91,16:05.19,16:24.58,16:43.96,17:02.93,17:22.22,17:41.92,18:01.42,18:22.47,18:39.46,18:57.71,19:16.55,19:34.46,19:52.83,20:10.91,20:28.76,20:48.05,21:05.17,21:23.27,21:41.29,21:59.06,22:17.32,22:35.71,22:54.08,23:13.74,23:31.04,23:49.71,24:08.57,24:27.05,24:44.69,25:02.65,25:20.91,25:39.33,25:57.25,26:15.27,26:33.04,26:51.78,27:09.85,27:28.51,27:47.32,28:06.07,28:23.66,28:41.21,28:59.50,29:17.80,29:35.91,29:53.50,30:11.63,30:28.44,30:44.70,31:00.63,31:16.58,31:32.29
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Agnes Jebet NGETICH,KEN,23.0,18.80,40.40,1:02.94,1:25.21,1:46.79,2:09.58,2:32.03,2:54.79,3:17.10,3:39.31,4:01.69,4:23.83,4:42.99,5:02.03,5:20.50,5:38.91,5:57.16,6:15.97,6:34.55,6:53.43,7:11.64,7:30.52,7:49.35,8:08.44,8:26.57,8:45.68,9:04.53,9:23.49,9:42.37,10:01.54,10:20.53,10:39.26,10:58.07,11:17.26,11:36.85,11:55.52,12:14.70,12:33.99,12:53.63,13:14.10,13:31.97,13:51.94,14:11.03,14:30.65,14:49.62,15:09.31,15:28.84,15:46.72,16:05.76,16:24.87,16:44.28,17:03.49,17:22.63,17:42.30,18:02.27,18:20.08,18:38.20,18:56.65,19:15.67,19:33.64,19:51.72,20:09.76,20:27.95,20:47.20,21:04.00,21:22.26,21:40.06,21:58.26,22:16.53,22:35.06,22:53.62,23:12.24,23:30.25,23:48.87,24:07.35,24:25.97,24:44.18,25:02.18,25:20.20,25:38.28,25:56.51,26:14.46,26:32.43,26:51.33,27:09.42,27:28.11,27:47.36,28:04.81,28:22.71,28:40.60,28:59.47,29:17.56,29:35.71,29:53.59,30:11.50,30:28.97,30:45.16,31:01.23,31:18.06,31:34.83
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Ririka HIRONAKA,JPN,23.0,18.47,39.57,1:02.73,1:24.26,1:45.79,2:08.42,2:30.72,2:54.17,3:15.76,3:38.11,4:01.18,4:22.46,4:41.56,5:00.38,5:19.49,5:37.26,5:55.57,6:14.13,6:33.40,6:52.41,7:09.97,7:28.74,7:48.65,8:07.10,8:25.07,8:44.15,9:03.16,9:21.63,9:40.73,9:59.93,10:19.23,10:37.81,10:56.52,11:15.69,11:34.80,11:53.50,12:13.19,12:32.50,12:53.02,13:11.34,13:30.36,13:50.00,14:09.11,14:29.52,14:47.95,15:07.54,15:27.13,15:46.59,16:05.07,16:24.35,16:43.75,17:03.39,17:22.11,17:41.62,18:02.53,18:20.56,18:39.49,18:57.91,19:16.79,19:34.70,19:53.22,20:11.27,20:29.11,20:47.55,21:05.56,21:23.44,21:41.54,22:00.29,22:17.58,22:35.81,22:54.42,23:12.74,23:31.41,23:49.86,24:08.58,24:26.80,24:44.94,25:02.95,25:21.14,25:39.11,25:57.45,26:15.42,26:33.25,26:52.39,27:10.01,27:28.85,27:48.29,28:05.77,28:23.98,28:41.86,29:00.04,29:18.18,29:36.45,29:54.30,30:12.27,30:29.33,30:46.07,31:02.46,31:18.79,31:35.12
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Jessica WARNER-JUDD,GBR,29.0,18.17,39.41,1:01.36,1:23.47,1:45.60,2:08.22,2:30.74,2:53.14,3:15.65,3:37.93,4:00.72,4:22.18,4:41.10,4:59.92,5:18.58,5:37.01,5:55.14,6:13.68,6:32.71,6:50.90,7:09.53,7:28.33,7:47.26,8:06.10,8:24.60,8:43.62,9:02.49,9:21.41,9:40.30,9:59.38,10:18.50,10:37.25,10:56.14,11:15.29,11:34.75,11:53.36,12:12.80,12:32.02,12:51.06,13:10.67,13:29.95,13:49.59,14:08.89,14:28.10,14:47.61,15:07.09,15:26.63,15:46.19,16:04.66,16:23.96,16:43.30,17:02.28,17:21.71,17:41.31,18:00.85,18:20.07,18:38.74,18:57.11,19:16.13,19:34.37,19:52.95,20:11.04,20:29.28,20:47.77,21:05.70,21:23.72,21:41.84,21:59.54,22:17.60,22:36.23,22:54.46,23:13.04,23:31.55,23:50.16,24:09.08,24:27.39,24:45.93,25:03.69,25:21.88,25:39.47,25:57.46,26:15.20,26:33.52,26:51.28,27:09.98,27:28.74,27:47.30,28:05.73,28:23.95,28:41.68,28:59.95,29:18.37,29:36.19,29:53.93,30:12.87,30:29.24,30:45.37,31:01.53,31:18.56,31:35.38
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Grace Loibach NAWOWUNA,KEN,20.0,18.76,40.18,1:03.26,1:25.72,1:47.60,2:10.36,2:33.19,2:55.74,3:17.94,3:39.99,4:02.08,4:24.63,4:44.70,5:03.03,5:22.35,5:39.56,5:57.90,6:16.63,6:35.34,6:54.59,7:13.11,7:31.51,7:50.19,8:09.25,8:27.48,8:46.56,9:06.03,9:24.76,9:43.86,10:02.29,10:21.29,10:40.46,10:59.15,11:17.99,11:37.36,11:56.57,12:16.14,12:34.56,12:54.10,13:13.17,13:32.77,13:52.40,14:11.76,14:30.93,14:50.16,15:09.58,15:28.99,15:47.42,16:06.83,16:25.73,16:45.38,17:04.11,17:23.30,17:42.85,18:02.09,18:20.71,18:39.15,18:57.48,19:16.44,19:34.02,19:52.48,20:10.45,20:28.45,20:46.73,21:04.81,21:22.93,21:42.02,21:58.81,22:17.03,22:35.51,22:54.25,23:12.31,23:30.89,23:49.55,24:08.18,24:26.23,24:44.04,25:02.05,25:20.49,25:38.27,25:56.43,26:14.30,26:32.48,26:50.98,27:09.46,27:28.02,27:46.80,28:04.53,28:22.52,28:40.38,28:58.99,29:17.10,29:35.49,29:53.40,30:11.59,30:28.96,30:45.82,31:02.63,31:20.29,31:38.17
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Sarah CHELANGAT,UGA,22.0,18.38,40.02,1:01.35,1:25.09,1:46.55,2:09.29,2:31.60,2:54.34,3:16.88,3:39.01,4:01.48,4:23.44,4:42.71,5:01.68,5:20.54,5:38.94,5:57.06,6:15.44,6:33.32,6:52.12,7:10.86,7:29.41,7:50.52,8:07.69,8:25.84,8:44.88,9:04.20,9:22.99,9:41.47,10:00.73,10:20.62,10:39.29,10:57.15,11:16.35,11:35.70,11:54.36,12:13.89,12:33.19,12:52.75,13:12.78,13:31.10,13:50.78,14:10.16,14:29.42,14:48.65,15:08.26,15:28.00,15:46.33,16:05.70,16:24.91,16:44.47,17:03.54,17:22.87,17:42.55,18:01.94,18:20.26,18:38.95,18:57.43,19:16.93,19:34.27,19:52.69,20:10.63,20:28.72,20:47.11,21:05.00,21:23.12,21:41.08,21:58.92,22:17.24,22:35.60,22:53.92,23:12.25,23:30.86,23:49.47,24:08.22,24:26.85,24:44.51,25:02.43,25:20.63,25:40.48,25:56.90,26:14.88,26:32.73,26:51.93,27:09.65,27:28.43,27:46.89,28:05.49,28:23.43,28:41.34,28:59.49,29:17.76,29:35.97,29:53.92,30:11.94,30:29.94,30:47.30,31:04.84,31:22.72,31:40.04
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Elise CRANNY,USA,27.0,18.23,39.38,1:01.67,1:26.91,1:45.86,2:08.51,2:31.05,2:54.97,3:16.17,3:38.39,4:00.89,4:24.28,4:41.79,5:00.70,5:19.53,5:37.72,5:56.02,6:14.82,6:33.59,6:52.57,7:10.49,7:29.23,7:48.49,8:07.39,8:25.60,8:44.67,9:03.83,9:22.23,9:41.16,10:00.49,10:19.13,10:39.80,10:56.96,11:16.05,11:35.33,11:53.98,12:13.57,12:32.97,12:51.94,13:11.75,13:30.85,13:50.64,14:09.48,14:29.09,14:48.40,15:07.93,15:27.48,15:46.41,16:05.45,16:24.70,16:44.04,17:03.13,17:22.51,17:42.18,18:01.65,18:20.76,18:39.58,18:58.39,19:17.42,19:34.97,19:53.27,20:11.60,20:29.64,20:49.05,21:06.16,21:24.24,21:42.13,22:00.75,22:18.30,22:36.97,22:55.29,23:13.64,23:31.92,23:50.60,24:09.72,24:27.38,24:45.60,25:03.70,25:22.04,25:40.36,25:58.02,26:16.04,26:34.54,26:53.36,27:12.34,27:31.53,27:50.72,28:09.89,28:29.25,28:48.92,29:08.77,29:28.35,29:47.76,30:07.41,30:27.03,30:46.06,31:04.49,31:22.99,31:40.68,31:57.51
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Diane VAN ES,NED,24.0,18.41,39.28,1:01.26,1:23.72,1:45.52,2:08.20,2:30.90,2:53.50,3:15.46,3:37.83,4:00.15,4:22.09,4:41.29,5:00.17,5:18.99,5:37.70,5:55.22,6:13.93,6:32.60,6:51.29,7:09.88,7:28.52,7:47.50,8:07.41,8:24.82,8:43.88,9:02.58,9:21.60,9:40.42,9:59.68,10:18.57,10:37.46,10:56.30,11:15.47,11:34.54,11:53.65,12:12.89,12:32.23,12:51.34,13:10.74,13:30.06,13:49.80,14:09.00,14:28.38,14:47.73,15:07.27,15:26.63,15:45.62,16:04.80,16:24.01,16:43.21,17:02.38,17:21.86,17:41.49,18:01.28,18:20.25,18:39.17,18:57.68,19:16.44,19:34.66,19:53.04,20:11.21,20:28.99,20:47.39,21:05.28,21:23.72,21:41.62,21:59.76,22:17.76,22:36.61,22:54.80,23:13.34,23:32.03,23:50.90,24:09.58,24:27.93,24:46.60,25:05.34,25:24.44,25:43.53,26:02.69,26:22.46,26:41.76,27:01.50,27:21.11,27:40.73,28:01.13,28:20.21,28:39.47,28:58.76,29:18.13,29:37.95,29:57.27,30:17.25,30:35.96,30:57.26,31:12.75,31:30.09,31:47.55,32:05.85
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Natosha ROGERS,USA,32.0,18.16,39.16,1:01.06,1:23.49,1:45.27,2:07.94,2:30.49,2:53.02,3:15.24,3:37.55,3:59.91,4:22.54,4:40.77,4:59.66,5:18.29,5:36.73,5:54.93,6:13.44,6:32.50,6:50.97,7:09.43,7:28.12,7:47.29,8:07.88,8:24.36,8:43.32,9:02.19,9:21.57,9:40.04,9:59.22,10:19.82,10:37.88,10:56.02,11:15.22,11:34.61,11:53.16,12:12.43,12:31.90,12:51.12,13:10.40,13:29.82,13:49.43,14:09.43,14:28.54,14:47.39,15:06.97,15:26.28,15:45.40,16:04.57,16:23.81,16:43.11,17:03.34,17:21.60,17:41.11,18:00.62,18:20.53,18:38.33,18:56.90,19:15.85,19:34.08,19:52.58,20:10.68,20:28.52,20:46.88,21:04.90,21:23.42,21:41.30,21:59.31,22:17.46,22:35.97,22:54.55,23:14.18,23:31.47,23:49.95,24:08.71,24:28.11,24:45.33,25:03.32,25:22.26,25:40.65,25:59.89,26:19.58,26:39.32,26:58.83,27:18.57,27:38.49,27:58.11,28:17.84,28:37.81,28:57.92,29:17.80,29:37.41,29:56.99,30:17.01,30:36.23,30:55.57,31:14.32,31:32.59,31:50.68,32:08.05
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Camilla RICHARDSSON,FIN,30.0,18.41,39.46,1:01.38,1:24.83,1:46.25,2:08.79,2:31.47,2:55.01,3:16.43,3:38.65,4:01.11,4:21.61,4:40.60,4:59.36,5:18.20,5:36.26,5:54.71,6:13.17,6:32.11,6:50.56,7:09.11,7:27.82,7:46.70,8:05.46,8:24.17,8:43.03,9:02.12,9:20.86,9:39.78,9:58.89,10:18.03,10:36.69,10:55.73,11:14.91,11:34.15,11:53.09,12:12.32,12:31.60,12:51.03,13:10.16,13:29.64,13:49.08,14:08.67,14:27.67,14:47.13,15:06.62,15:26.11,15:45.09,16:04.36,16:23.55,16:43.00,17:02.07,17:21.37,17:40.97,18:00.39,18:19.73,18:39.09,18:58.04,19:18.81,19:35.92,19:53.90,20:12.95,20:31.73,20:51.32,21:09.68,21:29.26,21:48.54,22:08.26,22:27.82,22:47.54,23:07.35,23:26.64,23:45.72,24:04.57,24:23.49,24:42.86,25:01.78,25:20.89,25:40.56,25:59.74,26:18.94,26:37.93,26:57.18,27:16.35,27:35.63,27:54.78,28:14.00,28:32.68,28:51.95,29:11.04,29:30.13,29:48.70,30:07.57,30:26.30,30:45.08,31:03.24,31:21.75,31:40.04,31:58.16,32:15.74
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Stella CHESANG,UGA,27.0,18.71,40.08,1:02.18,1:25.98,1:46.56,2:09.40,2:31.86,2:55.03,3:17.06,3:39.21,4:01.73,4:23.69,4:42.48,5:01.27,5:19.92,5:38.94,5:56.90,6:15.86,6:34.09,6:52.81,7:11.12,7:29.87,7:49.01,8:07.65,8:25.98,8:45.21,9:04.22,9:22.95,9:41.78,10:00.98,10:20.24,10:38.93,10:57.57,11:16.64,11:36.46,11:55.03,12:14.13,12:33.40,12:53.10,13:12.30,13:31.36,13:51.15,14:10.64,14:30.47,14:48.85,15:08.47,15:28.25,15:46.71,16:06.03,16:25.37,16:44.96,17:05.44,17:23.24,17:42.99,18:02.28,18:21.05,18:39.95,18:58.78,19:17.86,19:35.88,19:54.31,20:12.62,20:31.61,20:50.21,21:09.51,21:28.97,21:48.36,22:07.76,22:27.64,22:47.37,23:07.45,23:26.92,23:46.67,24:06.56,24:26.71,24:46.85,25:06.47,25:26.48,25:46.62,26:06.47,26:26.53,26:46.78,27:07.15,27:26.90,27:47.11,28:07.06,28:27.39,28:47.19,29:06.97,29:26.53,29:46.32,30:05.35,30:24.77,30:44.27,31:03.49,31:21.53,31:40.55,32:00.10,32:20.06,32:38.90
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Lemlem HAILU,ETH,22.0,19.43,41.41,1:05.58,1:25.93,1:48.01,2:09.85,2:33.19,2:56.58,3:17.90,3:40.06,4:02.29,4:25.53,4:45.00,5:02.84,5:22.77,5:40.22,5:58.19,6:16.95,6:35.49,6:54.72,7:12.94,7:32.57,7:50.21,8:09.39,8:28.04,8:46.58,9:05.81,9:24.70,9:43.65,10:02.58,10:21.35,10:40.98,10:59.34,11:17.59,11:38.77,11:55.77,12:15.03,12:34.19,12:54.45,13:12.91,13:31.95,13:51.33,14:10.60,14:30.93,14:49.82,15:09.60,15:29.11,15:47.51,16:06.67,16:26.00,16:45.81,17:04.52,17:23.81,17:43.56,18:02.94,18:21.84,18:40.44,18:58.84,19:18.17,19:35.45,19:53.77,20:11.60,20:30.28,20:48.16,21:06.81,21:25.06,21:43.40,22:02.28,22:21.21,22:40.00,22:59.82,23:19.01,23:39.12,23:58.88,24:18.73,24:39.06,24:59.50,25:19.96,25:40.30,26:01.01,26:21.29,26:41.84,27:02.36,27:22.68,27:43.09,28:03.44,28:24.01,28:44.43,29:04.87,29:25.56,29:45.93,30:05.45,30:25.37,30:44.33,31:03.33,31:23.00,31:43.42,32:03.33,32:23.06,32:42.78
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Sarah LAHTI,SWE,28.0,18.98,40.19,1:02.05,1:24.48,1:46.10,2:08.56,2:31.69,2:53.89,3:16.31,3:38.39,4:00.98,4:22.95,4:42.35,5:01.23,5:19.94,5:38.50,5:56.82,6:15.58,6:34.95,6:53.75,7:12.86,7:31.75,7:50.76,8:10.19,8:28.19,8:47.02,9:06.57,9:24.93,9:43.97,10:02.76,10:21.68,10:40.96,10:59.55,11:18.46,11:37.52,11:56.53,12:16.27,12:34.80,12:55.68,13:13.48,13:32.85,13:52.24,14:11.85,14:31.14,14:50.56,15:09.88,15:29.89,15:48.50,16:07.09,16:26.27,16:46.10,17:04.75,17:24.17,17:43.77,18:03.33,18:22.38,18:41.46,19:00.51,19:19.92,19:39.22,19:58.83,20:18.64,20:38.58,20:58.46,21:18.44,21:38.38,21:58.49,22:18.76,22:39.11,22:59.48,23:19.93,23:40.35,24:00.78,24:21.38,24:42.19,25:02.90,25:23.60,25:44.13,26:04.45,26:25.19,26:45.45,27:06.03,27:27.00,27:48.00,28:08.47,28:29.38,28:50.07,29:09.69,29:29.65,29:49.73,30:09.49,30:29.39,30:48.22,31:07.66,31:27.67,31:47.58,32:07.77,32:28.05,32:48.48,33:09.22
